series,size_label,major_diameter_in,major_diameter_mm,coarse_tpi,fine_tpi,extra_fine_tpi
Number,#0,0.0600,1.524,80,,
Number,#1,0.0730,1.854,64,,
Number,#2,0.0860,2.184,56,,
Number,#3,0.0990,2.515,48,,
Number,#4,0.1120,2.845,40,48,
Number,#5,0.1250,3.175,40,44,
Number,#6,0.1380,3.505,32,40,
Number,#8,0.1640,4.166,32,36,
Number,#10,0.1900,4.826,24,32,
Number,#12,0.2160,5.486,24,28,32
Fractional,1/4,0.2500,6.350,20,28,
Fractional,5/16,0.3125,7.938,18,24,
Fractional,3/8,0.3750,9.525,16,24,32
Fractional,7/16,0.4375,11.113,14,20,28
Fractional,1/2,0.5000,12.700,13,20,28
Fractional,9/16,0.5625,14.288,12,18,24
Fractional,5/8,0.6250,15.875,11,18,24
Fractional,3/4,0.7500,19.050,10,16,20
Fractional,7/8,0.8750,22.225,9,14,20
Fractional,1,1.0000,25.400,8,12,20
