unc_size,major_dia_in,major_dia_mm,tpi,pitch_mm,closest_metric_approx
#0-80,0.0600,1.524,80,0.318,M1.6 x 0.35
#1-64,0.0730,1.854,64,0.397,M2.0 x 0.40
#2-56,0.0860,2.184,56,0.454,M2.2 x 0.45
#3-48,0.0990,2.515,48,0.529,M2.5 x 0.45
#4-40,0.1120,2.845,40,0.635,M3.0 x 0.50
#5-40,0.1250,3.175,40,0.635,M3.5 x 0.60
#6-32,0.1380,3.505,32,0.794,M4.0 x 0.70
#8-32,0.1640,4.166,32,0.794,M4.5 x 0.75
#10-24,0.1900,4.826,24,1.058,M5.0 x 0.80
#12-24,0.2160,5.486,24,1.058,M5.5 x 0.90
1/4-20,0.2500,6.350,20,1.270,M6.0 x 1.00
5/16-18,0.3125,7.938,18,1.411,M8.0 x 1.25
3/8-16,0.3750,9.525,16,1.588,M10 x 1.50
7/16-14,0.4375,11.113,14,1.814,M12 x 1.75
1/2-13,0.5000,12.700,13,1.954,M12 x 1.75
9/16-12,0.5625,14.288,12,2.117,M14 x 2.00
5/8-11,0.6250,15.875,11,2.309,M16 x 2.00
3/4-10,0.7500,19.050,10,2.540,M20 x 2.50
7/8-9,0.8750,22.225,9,2.822,M22 x 2.50
1-8,1.0000,25.400,8,3.175,M24 x 3.00
